DATE ,START,END ,LOWEST,HIGHEST,VOLUMN_SHOUD,VOLUMN_MONEY,INCREASE,class
18/07/2017,3192,3187.57,3139.5,3230.35,2168166912,238209232,2.41%,no
30/06/2017,3108.42,3192.43,3078.79,3193.46,3204652288,365866528,-1.19%,no
31/05/2017,3147.23,3117.18,3016.53,3154.78,3228021248,360604512,-2.08%,no
28/04/2017,3235.66,3154.66,3097.33,3295.19,3783533312,421736704,-0.62%,no
31/03/2017,3240.07,3221.63,3193.16,3283.24,4115865344,508601760,2.61%,no
28/02/2017,3160.08,3241.73,3132.03,3264.08,3398041856,377725728,1.79%,no
26/01/2017,3105.31,3159.17,3044.29,3174.58,2759490560,305277184,-4.50%,no
30/12/2016,3257.03,3103.64,3068.42,3279.71,3965931264,440621792,4.82%,no
30/11/2016,3101.66,3250.03,3094.1,3301.21,5200799232,585388160,3.19%,no
31/10/2016,3020.46,3100.49,3014.62,3137.03,2783130112,306340224,-2.62%,no
30/09/2016,3083.96,3004.7,2969.13,3105.68,2795832320,314090048,3.56%,no
31/08/2016,2971.95,3085.49,2931.96,3140.44,3956218368,444990816,1.70%,no
29/07/2016,2931.8,2979.34,2922.52,3069.05,4011659008,470332256,0.45%,no
30/06/2016,2917.15,2929.61,2807.6,2945.94,3175938816,377000320,-0.74%,no
31/05/2016,2940.39,2916.62,2780.76,3004.42,2853848320,315593088,-2.18%,no
29/04/2016,2997.09,2938.32,2905.05,3097.16,3786963456,421474336,11.75%,yes
31/03/2016,2688.38,3003.92,2668.76,3028.32,5084600320,534252832,-4.78%,no
30/09/2015,3157.83,3052.78,2983.54,3256.74,5362512896,562637184,-12.49%,no
31/08/2015,3614.99,3205.99,2850.71,4006.34,8719258624,1077444480,-14.34%,no
31/07/2015,4214.15,3663.73,3373.54,4317.05,13193595904,1611194112,-7.25%,no
30/06/2015,4633.1,4277.22,3847.88,5178.19,12870644736,1999962624,3.83%,no
29/05/2015,4441.34,4611.74,4099.04,4986.5,10664884224,1633287552,18.51%,yes
30/04/2015,3748.34,4441.65,3742.21,4572.39,12677372928,1721043840,13.22%,yes
31/03/2015,3332.72,3747.9,3198.37,3835.57,9442485248,1126569472,3.11%,no
27/02/2015,3148.14,3310.3,3049.11,3324.55,3615595008,411830848,-0.75%,no
30/01/2015,3258.63,3210.36,3095.07,3406.79,7037433856,783415872,20.57%,yes
31/12/2014,2691.73,3234.68,2665.69,3239.36,11383523328,1148132992,10.85%,yes
28/11/2014,2425.23,2682.83,2401.75,2683.18,5691334144,488132512,2.38%,no
31/10/2014,2368.58,2420.18,2279.84,2423.6,3697286912,312862848,6.62%,yes
30/09/2014,2220.13,2363.87,2217.69,2365.49,4191031040,355214368,0.71%,no
29/08/2014,2194.17,2217.2,2180.6,2248.94,3343780096,278971424,7.48%,yes
31/07/2014,2051.23,2201.56,2033,2202.13,2980954880,238962480,0.45%,no
30/06/2014,2039.2,2048.33,2010.53,2087.32,1591231488,131174640,0.63%,no
30/05/2014,2022.18,2039.21,1991.06,2061.06,1512460416,120002304,-0.34%,no
30/04/2014,2031.01,2026.36,1997.64,2146.67,2067447808,167659232,-1.12%,no
31/03/2014,2052.07,2033.31,1974.38,2079.55,2312976640,186352944,1.14%,no
28/02/2014,2022.32,2056.3,2014.38,2177.98,2051218304,179237616,-3.92%,no
30/01/2014,2112.13,2033.08,1984.82,2113.11,1563580288,135983056,-4.71%,no
31/12/2013,2203.12,2115.98,2068.54,2260.87,2071264000,179770832,3.68%,no
29/11/2013,2139.88,2220.5,2078.99,2234.39,2187871744,192169728,-1.52%,no
31/10/2013,2171.9,2141.61,2093.2,2242.98,2377395712,209759664,3.64%,no
30/09/2013,2104.09,2174.67,2078.46,2270.27,2999507712,253661440,5.25%,yes
30/08/2013,2000.82,2098.38,1997.06,2198.85,2489486080,206846608,0.74%,no
31/07/2013,1965.99,1993.8,1946.37,2092.87,2164964352,181969552,-13.97%,no
28/06/2013,2300.21,1979.21,1849.65,2313.43,1552384000,133003912,5.63%,yes
31/05/2013,2170.78,2300.59,2161.14,2334.33,2054941568,186650544,-2.62%,no
26/04/2013,2229.46,2177.91,2165.78,2253.42,1497143680,128516672,-5.45%,no
29/03/2013,2364.54,2236.62,2228.81,2369.65,2325954816,203983088,-0.83%,no
28/02/2013,2377.41,2365.59,2289.89,2444.8,1826534656,162722736,5.13%,yes
31/01/2013,2289.51,2385.42,2234.95,2391.82,2671926016,225899056,14.60%,yes
31/12/2012,1977.25,2269.13,1949.46,2269.51,2245206528,171652224,-4.29%,no
30/11/2012,2070.02,1980.12,1959.33,2123.33,1245203456,91611792,-0.83%,no
31/10/2012,2084.85,2068.88,2053.09,2138.03,1231251584,92018216,1.89%,no
28/09/2012,2044.82,2086.17,1999.48,2145,1432787840,115491456,-2.67%,no
31/08/2012,2101.72,2047.52,2032.54,2176.79,1364021888,114576984,-5.47%,no
31/07/2012,2234.32,2103.63,2100.25,2244.83,1349082496,121815472,-6.19%,no
29/06/2012,2373.22,2225.43,2188.72,2388.09,1276093568,121327112,-1.00%,no
31/05/2012,2421.08,2372.23,2309.07,2453.73,1991234816,193608224,5.90%,yes
27/04/2012,2258.03,2396.32,2251.39,2415.75,1633715328,146877936,-6.82%,no
30/03/2012,2418.79,2262.79,2242.34,2476.22,2089452160,202250688,5.93%,yes
29/02/2012,2288.07,2428.49,2263.34,2478.38,1952283904,177172544,4.24%,no
31/01/2012,2212,2292.61,2132.63,2324.49,1045580544,90550824,-5.74%,no
30/12/2011,2392.49,2199.42,2134.02,2423.56,1154517888,102267328,-5.46%,no
30/11/2011,2450.33,2333.41,2319.44,2536.78,1641719680,162332816,4.62%,no
31/10/2011,2363.08,2468.25,2307.15,2483.76,1201777280,111567008,-8.11%,no
30/09/2011,2569.8,2359.22,2348.22,2584.8,1190284928,121064624,-4.97%,no
31/08/2011,2697.57,2567.34,2437.68,2712.89,1801978624,191301360,-2.18%,no
29/07/2011,2767.83,2701.73,2677.12,2826.96,1971957376,230119360,0.68%,no
30/06/2011,2737.06,2762.08,2610.99,2774.36,1626952192,185037088,-5.77%,no
31/05/2011,2911.51,2743.47,2689.21,2933.46,1785114496,203838688,-0.57%,no
29/04/2011,2932.48,2911.51,2871.01,3067.46,2309860096,272767424,0.79%,no
31/03/2011,2906.28,2928.11,2850.95,3012.04,2941033472,369712576,4.10%,no
28/02/2011,2795.07,2905.05,2760.18,2944.41,1756491264,216362144,-0.62%,no
31/01/2011,2825.33,2790.69,2661.45,2868,1728273152,202414864,-0.43%,no
31/12/2010,2810.54,2808.08,2721.48,2939.05,2119663488,264707248,-5.33%,no
30/11/2010,2986.89,2820.18,2758.92,3186.72,3534001920,457896992,12.17%,yes
29/10/2010,2681.25,2978.83,2677.99,3073.38,2970149632,368420928,0.64%,no
30/09/2010,2641.05,2655.66,2573.63,2704.93,2045261056,234974848,0.05%,no
31/08/2010,2635.81,2638.8,2564.84,2701.93,2409488128,247438640,9.97%,yes
30/07/2010,2393.95,2637.5,2319.74,2656.41,1907474048,174955568,-7.48%,no
30/06/2010,2577.76,2398.37,2382.36,2598.9,1225701248,129572536,-9.70%,no
31/05/2010,2821.35,2592.15,2481.97,2862.55,1669948416,186442752,-7.67%,no
30/04/2010,3111.94,2870.61,2820.95,3181.66,2297446656,287540832,1.87%,no
31/03/2010,3057.01,3109.1,2963.44,3132.58,2149159424,252717664,2.10%,no
26/02/2010,2981.37,3051.94,2890.02,3067.52,1225541120,142905808,-8.78%,no
29/01/2010,3289.75,2989.29,2963.89,3306.75,2355678976,290773184,2.56%,no
31/12/2009,3191.06,3277.14,3039.86,3334.01,2690956288,319140896,6.66%,yes
30/11/2009,2933.82,3195.3,2923.52,3361.39,3002887424,343169024,7.79%,yes
30/10/2009,2840.13,2995.85,2834.62,3123.46,1767344000,199826352,4.19%,no
30/09/2009,2649.17,2779.43,2639.76,3068.03,2580092928,283002112,-21.81%,no
31/08/2009,3429.69,2667.75,2663,3478.01,2909614336,333327648,15.30%,yes
31/07/2009,2950.17,3412.06,2947.69,3454.02,4165943040,472747040,12.40%,yes
30/06/2009,2668.4,2959.36,2668.4,2997.27,2978235392,308250496,6.27%,yes
27/05/2009,2486.69,2632.93,2486.23,2688.11,2471494656,241863184,4.40%,no
30/04/2009,2380.98,2477.57,2331.88,2579.22,3177542144,300659456,13.94%,yes
31/03/2009,2066.23,2373.21,2037.02,2392.77,2871862272,250294064,4.63%,no
27/02/2009,2008.13,2082.85,1987.13,2402.81,3243945472,263363072,9.33%,yes
23/01/2009,1849.02,1990.66,1844.09,2018.51,1350027520,97466992,-2.69%,no
31/12/2008,1865.74,1820.81,1814.75,2100.81,2275405568,156295424,8.24%,yes
28/11/2008,1713.76,1871.16,1678.96,2050.88,1827023616,118381752,-24.63%,no
31/10/2008,2267.39,1728.79,1664.93,2267.39,1019965632,73159800,-4.32%,no
26/09/2008,2380.47,2293.78,1802.33,2380.47,1060612288,81008160,-13.63%,no
29/08/2008,2751.02,2397.37,2284.58,2830.76,915221632,78733440,1.45%,no
31/07/2008,2743.16,2775.72,2566.53,2952.04,1449774336,152994256,-20.31%,no
30/06/2008,3426.2,2736.1,2693.4,3483.61,1018349632,112929512,-7.03%,no
30/05/2008,3739.8,3433.35,3333.95,3786.02,1424808192,197750720,6.35%,yes
30/04/2008,3461.08,3693.11,2990.79,3705.09,1368061824,186326272,-20.14%,no
31/03/2008,4323.7,3472.71,3357.23,4472.15,1290916224,194145792,-0.80%,no
29/02/2008,4388.25,4348.54,4123.31,4695.8,861169856,142279312,-16.69%,no
31/01/2008,5265,4383.39,4330.7,5522.78,1771730432,307545024,8.00%,yes
28/12/2007,4838.56,5261.56,4798.01,5336.5,1251505664,197321520,-18.19%,no
30/11/2007,5978.94,4871.78,4778.73,6005.13,1007005888,173840544,7.25%,yes
31/10/2007,5683.31,5954.77,5462.01,6124.04,1340664960,241024080,6.39%,yes
28/09/2007,5257.78,5552.3,5025.34,5560.42,1918855424,304609536,16.73%,yes
31/08/2007,4488.77,5218.83,4284.87,5235.16,2407928576,355976096,17.02%,yes
31/07/2007,3800.23,4471.03,3563.54,4476.63,1695465344,215854576,-7.03%,no
29/06/2007,4120.63,3820.7,3404.15,4312,2650217984,353288448,6.99%,yes
31/05/2007,3937.94,4109.65,3845.23,4335.96,2914210304,392811360,20.64%,yes
30/04/2007,3196.59,3841.27,3196.59,3851.35,2910928896,320055744,10.51%,yes
30/03/2007,2877.2,3183.98,2723.06,3273.73,2436304384,210846656,3.40%,no
28/02/2007,2744.81,2881.07,2541.52,3049.77,1472657024,116462032,4.14%,no
31/01/2007,2728.19,2786.33,2617.02,2994.28,2317728256,171990256,27.45%,yes
29/12/2006,2106.29,2675.47,2084.27,2698.9,1626577280,102433576,14.22%,yes
30/11/2006,1838.68,2099.29,1833.2,2102.06,1193314432,68837832,4.88%,no
31/10/2006,1768.14,1837.99,1753.49,1842.73,802099264,43254584,5.65%,yes
29/09/2006,1658.66,1752.42,1634.03,1755.69,782392064,42719800,2.85%,no
31/08/2006,1619.64,1658.64,1541.41,1667.53,631743872,34244044,-3.56%,no
31/07/2006,1677.31,1612.73,1611.16,1757.47,857152064,50150516,1.88%,no
30/06/2006,1639.67,1672.21,1512.52,1695.58,985911872,55845016,13.96%,yes
31/05/2006,1446.99,1641.3,1446.99,1678.6,1156306176,66901048,10.93%,yes
28/04/2006,1298.68,1440.22,1298.68,1444.71,825969472,43587544,-0.06%,no
31/03/2006,1299.15,1298.3,1238.16,1313.12,502812864,24979030,3.26%,no
28/02/2006,1263,1299.03,1256.81,1304.61,466549952,22947446,8.35%,yes
25/01/2006,1163.88,1258.05,1161.91,1262.09,451695072,22180816,5.62%,yes
30/12/2005,1098.78,1161.06,1074.01,1173.06,296566240,13578502,0.59%,no
30/11/2005,1091.68,1099.26,1074.3,1122.88,314751616,13520255,-5.43%,no
31/10/2005,1153.67,1092.82,1067.41,1165.67,267450272,12795722,-0.62%,no
30/09/2005,1163.7,1155.61,1129.05,1223.56,545839296,25123382,7.36%,yes
31/08/2005,1082.8,1162.8,1081.12,1201.76,636102912,28130014,0.19%,no
29/07/2005,1077.31,1083.03,1004.08,1097.63,306352800,13165603,1.90%,no
30/06/2005,1059.61,1080.94,1000.52,1146.42,386211136,18368840,-8.49%,no
31/05/2005,1160.62,1060.74,1043.28,1165.39,181131840,8768433,-1.87%,no
29/04/2005,1180.37,1159.15,1135.73,1254.32,318922976,17570272,-9.55%,no
31/03/2005,1305.25,1181.24,1162.03,1326.08,311177984,18157596,9.58%,yes
28/02/2005,1189.5,1306,1187.26,1328.53,223355632,12471892,-5.90%,no
31/01/2005,1260.78,1191.82,1189.21,1268.86,197091104,10651256,-5.54%,no
31/12/2004,1340.92,1266.5,1264.15,1352.45,221278672,12673817,1.53%,no
30/11/2004,1317.66,1340.77,1290.99,1387.34,300057952,18305408,-5.45%,no
29/10/2004,1395.67,1320.54,1289.87,1437.57,261482816,17214676,4.07%,no
30/09/2004,1340.75,1396.7,1259.43,1496.21,389067008,24146060,-3.18%,no
31/08/2004,1381.88,1342.06,1310.02,1424.55,180654432,11405574,-0.93%,no
30/07/2004,1398.2,1386.2,1366.5,1466.78,231014704,15458535,-10.07%,no
30/06/2004,1555.56,1399.16,1376.22,1580.57,221336736,16870042,-2.49%,no
31/05/2004,1600.63,1555.91,1508.65,1606.07,147889392,11507948,-8.39%,no
30/04/2004,1744.71,1595.59,1572.23,1783.01,372960352,32295642,3.97%,no
31/03/2004,1676.22,1741.62,1634.71,1760.08,414562848,35186208,5.30%,yes
27/02/2004,1630.65,1675.07,1585.96,1730.28,545986816,44797612,6.26%,yes
30/01/2004,1492.72,1590.73,1491.69,1634.41,320241408,24777074,7.14%,yes
31/12/2003,1398.71,1497.04,1398.71,1525.3,390332224,28440136,3.63%,no
28/11/2003,1346.48,1397.22,1307.4,1423.58,280055456,18576024,-1.38%,no
31/10/2003,1366.2,1348.3,1334.78,1411.88,151454928,10569965,-3.86%,no
30/09/2003,1423.35,1367.16,1348.22,1456.55,140680608,11330574,-3.71%,no
29/08/2003,1476.47,1421.98,1406.68,1497.1,116427168,9424626,-0.62%,no
31/07/2003,1485.52,1476.74,1464.87,1540.19,181829280,14919618,-5.72%,no
30/06/2003,1577.99,1486.02,1483.69,1582.41,191009120,15567541,3.60%,no
30/05/2003,1522.98,1576.26,1477.25,1581.61,232396864,19177782,0.72%,no
30/04/2003,1513,1521.44,1473.27,1649.6,459577184,36928380,-0.09%,no
31/03/2003,1511.58,1510.58,1447.01,1529.75,151406240,13075428,0.81%,no
28/02/2003,1499.17,1511.93,1474.47,1524.75,119819752,10118685,10.47%,yes
29/01/2003,1347.43,1499.81,1311.68,1508.59,263655136,19122428,-5.34%,no
31/12/2002,1432.03,1357.65,1348.71,1439.85,126401312,10638121,-4.86%,no
29/11/2002,1507.38,1434.18,1353.14,1573.1,140550720,11739634,-4.69%,no
31/10/2002,1577.05,1507.5,1488.68,1577.05,94688536,7266145,-5.10%,no
27/09/2002,1666.34,1581.62,1577.53,1680.28,79559648,8356075,0.91%,no
30/08/2002,1650.05,1666.62,1624.05,1696.28,107809600,11125966,-4.68%,no
31/07/2002,1736.29,1651.59,1647.27,1741.92,202036896,19857432,14.32%,yes
28/06/2002,1510.25,1732.76,1455.31,1748.89,248254192,23607980,-9.12%,no
31/05/2002,1669.87,1515.73,1506.54,1670.92,105194792,10753487,3.98%,no
30/04/2002,1598.03,1667.75,1575.97,1680.3,174967568,17886728,5.19%,yes
29/03/2002,1521.53,1603.91,1494.83,1693.87,273000768,27783708,2.21%,no
28/02/2002,1494.58,1524.7,1476.13,1544.92,84670544,7913097,-9.37%,no
31/01/2002,1643.48,1491.67,1339.2,1643.5,681675904,12662556,-5.84%,no
31/12/2001,1751.05,1645.97,1593.03,1776.02,120127184,12929069,3.48%,no
30/11/2001,1692.35,1747.99,1550.46,1748,123584352,13449179,-4.29%,no
31/10/2001,1766.13,1689.17,1514.86,1773.8,1517008768,12326670,-3.78%,no
28/09/2001,1831.7,1764.87,1750.76,1888.9,90997936,10770803,-4.49%,no
31/08/2001,1925.24,1834.14,1795.57,1990.7,139259248,15847634,-13.42%,no
31/07/2001,2220.42,1920.32,1909.3,2223.21,131808208,18489842,0.17%,no
29/06/2001,2216.56,2218.03,2157.12,2245.44,206876864,29511638,4.49%,no
31/05/2001,2119.9,2214.26,2119.89,2222.65,191673648,26710410,0.30%,no
30/04/2001,2117.45,2119.18,2081.64,2179.74,243413504,31638468,7.84%,yes
30/03/2001,1959.01,2112.78,1953.72,2112.88,252551472,26876588,-5.15%,no
28/02/2001,2069.86,1959.18,1893.78,2072.55,84942920,11183394,-0.38%,no
19/01/2001,2077.08,2065.61,2007.71,2131.98,125428800,17360124,0.14%,no
29/12/2000,2073.09,2073.48,2024.29,2097.29,254129296,2268.3,5.57%,yes
30/11/2000,1961.08,2070.61,1959.72,2125.72,251636240,2677.2,2.68%,no
31/10/2000,1912.08,1961.29,1896.95,1980.63,129582712,1354.26,-5.49%,no
29/09/2000,2009.15,1910.16,1874.21,2026.35,133138056,1484.99,-0.12%,no
31/08/2000,2027.01,2021.2,1980.35,2114.52,266701072,3343.54,4.95%,no
31/07/2000,1917.44,2023.54,1888.25,2025,223031376,2687.94,1.77%,no
30/06/2000,1900.53,1928.11,1884.62,1953.34,294425792,3078.51,3.17%,no
31/05/2000,1848.17,1894.55,1695.53,1908.31,209862928,2160.7,2.00%,no
28/04/2000,1799.58,1836.32,1746.3,1858.27,298831456,2979.81,5.00%,no
